text,frequency
쿠키,470
게임,322
업데이트,166
때,162
유저,121
런,119
보상,85
저,84
과금,82
경기,79
겜,77
시간,76
이벤트,72
보물,68
렉,68
스킨,64
계정,63
플레이,60
불편,60
제,57
