text,frequency
카톡,181
기능,140
카카오톡,125
채팅,120
프로필,117
업데이트,114
방,111
불편,105
친구,98
사용,95
때,92
사람,91
톡,72
앱,63
삭제,58
선물,52
추가,50
설정,48
저,47
사진,46
