text,frequency
굿,31
앱,25
사용,18
정보,17
이력서,15
플,14
사람,13
취업,11
검색,11
지역,10
화면,10
공고,7
굳,7
회사,7
선택,6
추천,6
나,6
채용,6
불편,6
설정,6
