text,frequency
쿠키,288
게임,193
때,117
업데이트,113
런,67
유저,62
보상,60
경기,58
계정,55
보물,54
저,54
제,47
이벤트,47
시간,46
맛,45
플레이,44
겜,44
스토리,40
탈출,39
오븐,38
