text,frequency
앱,231
인증,187
플,158
은행,156
로그인,113
오류,111
사용,95
신한,81
접속,80
업데이트,64
화면,60
이체,59
계좌,57
번호,54
때,52
가입,51
시간,48
지문,46
신한은행,41
로딩,41
