text,frequency
쿠키,123
게임,95
업데이트,64
때,50
런,34
유저,32
보물,31
경기,30
불편,25
보상,25
제,24
전,23
이번,22
초대,21
광고,21
아이폰,20
점프,20
이벤트,20
확률,20
문제,19
