text,frequency
쿠키,92
게임,79
업데이트,51
때,36
친구,24
보물,24
불편,23
유저,23
시간,21
경기,21
초대,21
런,21
제,20
이번,20
보상,19
계정,18
플레이,18
스토리,17
이벤트,17
저,17
