text,frequency
쿠키,298
게임,202
때,120
업데이트,117
런,69
유저,67
보상,59
경기,57
계정,56
저,55
보물,54
겜,51
제,48
시간,47
이벤트,46
맛,45
플레이,44
스토리,42
불편,40
탈출,39
