text,frequency
게임,152
업데이트,58
굿,36
겜,34
과금,34
잼,32
재미,27
현질,26
접속,25
오딘,25
계정,23
인증,21
조치,21
돈,20
보호,19
나,19
짜증,17
확률,17
때,17
시간,17
