text,frequency
사진,632
스타,621
인,575
스토리,509
계정,494
오류,403
기능,356
업데이트,331
게시물,315
댓글,295
삭제,276
때,269
앱,250
추가,235
수정,224
업로드,209
사람,209
저,200
불편,189
디엠,186
