text,frequency
쿠키,45
게임,38
업데이트,37
때,23
보물,17
불편,16
유저,13
이번,13
경기,13
초대,12
친구,11
문제,11
트로피,10
화면,10
이벤트,9
제,9
정도,9
펫,9
눈,9
오븐,8
