text,frequency
카톡,192
기능,145
카카오톡,131
채팅,124
업데이트,122
프로필,119
방,113
친구,111
불편,105
사용,103
때,97
사람,91
톡,75
앱,65
삭제,64
선물,54
설정,52
추가,51
사진,49
저,49
