text,frequency
쿠폰,5
카드,4
오류,4
앱,3
플,3
결제,3
선불카드,3
등록,3
주문,2
시스템,2
번호,2
ㄱ,2
정도,2
충전,2
날,2
러디,2
원,1
언제,1
추가,1
요금,1
