text,frequency
쿠키,240
게임,177
업데이트,100
때,96
유저,66
런,65
경기,54
저,48
렉,46
보상,43
보물,43
제,42
이벤트,41
계정,39
겜,37
시간,36
친구,33
전,32
스킨,32
오븐,32
