text,frequency
쿠키,461
게임,322
업데이트,166
때,162
유저,115
런,115
저,83
과금,82
보상,80
경기,79
겜,77
시간,74
이벤트,70
렉,68
보물,65
스킨,63
계정,63
불편,60
플레이,59
제,56
