text,frequency
쿠키,169
게임,88
킹덤,72
업데이트,53
때,42
친구,37
제,36
런,35
쿠,35
보상,35
유저,34
초대,33
스토리,32
보물,29
시간,29
이벤트,26
경기,24
저,24
플레이,24
계정,23
