text,frequency
게임,229
업데이트,164
과금,87
굿,79
겜,74
잼,62
오딘,62
플레이,46
업,45
때,42
재미,41
현질,38
인증,38
조치,35
접속,33
짜증,33
시간,31
계정,31
나,30
보호,28
