text,frequency
쿠키,467
게임,322
업데이트,166
때,162
런,118
유저,117
저,84
과금,82
보상,81
경기,79
겜,77
시간,74
이벤트,71
렉,68
보물,68
스킨,63
계정,63
불편,60
플레이,60
제,56
